canonical_name,total,month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12
roston csirkemell,748,73,68,68,71,72,57,48,47,48,49,69,78
gyümölcsleves,696,54,59,70,57,77,52,58,57,61,40,55,56
burgonyapüré,649,67,58,69,56,54,46,33,45,44,60,65,52
rizibizi,647,69,43,60,66,60,63,60,49,38,41,58,40
hasábburgonya,545,50,50,64,42,52,41,40,33,42,30,50,51
rántott sajt,533,40,56,50,39,45,57,37,46,41,11,47,64
galuska,514,53,63,63,43,43,33,40,35,28,24,50,39
csontleves,484,39,41,60,36,50,31,32,24,24,23,55,69
Kínálatunkat ITT találja,456,53,49,53,51,54,39,26,27,25,27,26,26
petrezselymes burgonya,433,29,45,38,39,43,37,38,27,26,29,29,53
húsleves,428,46,38,48,36,45,37,33,25,27,24,34,35
zöldségleves,363,37,32,24,30,35,31,29,23,31,20,38,33
rántott csirkemell,348,26,23,45,45,49,33,17,21,18,17,33,21
bolognai spagetti,327,29,22,37,27,33,28,26,27,15,19,40,24
fasírozott,234,26,19,19,23,26,19,17,16,16,13,22,18
milánói sertésborda,233,26,15,23,18,17,17,12,19,23,20,22,21
Lebbencsleves,202,22,18,17,17,21,16,13,16,10,15,21,16
gyros tál,182,17,14,16,13,23,16,12,14,12,15,18,12
sertéspörkölt,180,15,12,22,18,15,22,9,15,9,15,17,11
paradicsomleves,170,14,15,15,15,13,19,9,16,10,9,18,17
túrós csusza,143,8,21,10,13,12,13,10,6,15,7,13,15
Tojásleves,130,15,12,13,14,14,7,10,7,5,13,14,6
"Bacon, sajt vagy csibe burger",130,12,12,13,12,14,10,9,9,8,9,12,10
káposztás tészta,122,14,12,11,9,15,9,8,6,6,9,6,17
Gulyásleves,118,8,9,12,10,11,11,8,11,9,8,9,12
Tarhonyaleves,117,10,16,12,13,9,6,9,7,6,5,13,11
Orjaleves,114,8,10,9,13,12,13,6,8,9,10,8,8
Frankfurti leves,111,9,14,12,11,6,12,5,7,11,4,12,8
savanyúság,104,9,11,15,9,6,8,5,4,4,7,10,16
Székelykáposzta,104,8,11,10,12,8,7,6,11,3,10,9,9
Zöldborsóleves,101,8,9,8,8,13,13,5,10,9,6,6,6
csirkepörkölt,97,7,6,9,10,10,6,8,3,9,7,11,11
Brokkoli krémleves,93,9,6,12,10,10,8,3,6,7,8,7,7
Rakott karfiol,90,7,6,8,6,8,8,8,7,5,9,6,12
Lasagne,90,7,6,8,10,7,10,10,2,9,6,8,7
Máglyarakás,89,10,10,9,8,11,8,5,2,7,3,7,9
Zöldbableves,84,7,8,8,8,6,6,9,3,7,5,9,8
Pecsenyeleves,82,8,6,8,8,8,6,7,6,6,5,9,5
Brassói aprópecsenye,69,6,2,6,5,8,4,8,4,5,6,12,3
Paradicsomos húsgombóc,67,6,9,4,8,6,2,3,3,3,6,5,12
:2300ft Leves: 990ft Második:,62,8,8,10,8,8,5,0,0,0,0,5,10
Karfiolleves,61,5,9,3,6,7,3,4,2,5,6,7,4
Babgulyás,59,8,4,6,2,5,5,4,5,6,2,7,5
Májgombócleves,59,6,5,4,6,9,6,4,2,4,3,4,6
"Rántott sertés szelet, vegyes köret, saláta",58,7,8,8,7,6,1,0,2,0,1,7,11
Chilis bab,57,7,6,3,3,5,3,6,3,6,4,8,3
Rakott zöldbab,57,4,5,5,1,5,5,6,6,1,8,9,2
Palócgulyás,56,7,1,7,4,6,4,1,6,4,4,5,7
Jókai bableves,53,4,3,5,6,6,6,2,3,3,6,3,6
Töltött káposzta,52,6,7,5,3,0,6,2,0,3,4,7,9
Kedves vendégeink,52,17,20,8,0,0,0,0,7,0,0,0,0
paprikás krumpli,51,6,4,5,2,9,0,6,2,6,1,7,3
Magyaros burgonyaleves,51,6,4,8,6,5,1,2,2,4,7,2,4
Pirított tésztaleves,49,4,7,5,4,5,3,4,5,1,4,2,5
Tarhonyás hús,49,4,6,3,2,4,4,3,4,3,1,7,8
Fahéjas szilvaleves,49,6,6,2,4,5,4,6,4,2,3,5,2
Rakott burgonya,48,5,4,4,8,1,3,4,5,3,3,3,5
Lencseleves,47,6,6,4,2,5,4,1,1,4,4,2,8
Stíriai metélt,47,4,6,6,1,7,2,5,2,5,2,3,4
Húsgombóc leves,46,3,3,5,4,4,4,2,3,3,6,7,2
Carbonara spagetti,46,5,4,9,5,3,3,1,2,4,2,2,6
"Sertés tokány galuskával, saláta",45,4,3,9,6,1,4,2,4,3,1,3,5
Rakott kelkáposzta,45,4,4,3,8,5,1,5,2,4,0,6,3
Hamis gulyásleves,43,0,6,7,5,3,3,2,2,1,1,8,5
Legényfogó leves,42,3,2,5,4,4,3,4,4,4,1,5,3
Korhelyleves,41,5,4,3,3,5,0,2,1,3,4,7,4
Sárgaborsó krémleves,41,5,3,5,4,2,3,2,2,4,4,6,1
Erdélyi rakott káposzta,40,4,5,1,3,4,2,3,4,5,2,4,3
Mákos tészta,40,2,2,5,3,5,6,3,5,2,1,2,4
"Hentes tokány, tészta",40,4,3,4,6,4,4,3,2,1,3,3,3
Megértésüket köszönjük,40,17,20,3,0,0,0,0,0,0,0,0,0
Szilvás gombóc,39,2,3,6,3,4,4,3,3,4,1,2,4
Csirkeaprólék leves,37,4,3,4,4,2,3,4,2,2,3,4,2
Sonkás kocka,36,3,4,4,3,6,2,1,2,1,5,0,5
Sárgaborsóleves,35,3,2,4,3,1,4,3,2,2,3,1,7
Krumplis tészta,35,5,6,1,4,3,2,0,1,3,2,6,2
Nyitás február 15.-én,35,10,25,0,0,0,0,0,0,0,0,0,0
Zúzapörkölt tésztával,34,3,1,3,0,6,2,5,4,2,3,3,2
Lencsegulyás,34,3,2,3,5,3,2,2,3,1,2,4,4
Brassói,33,3,5,2,2,2,3,2,2,4,2,2,4
Rizsfelfújt,32,3,5,3,2,2,4,2,2,2,1,4,2
Grízgombóc leves,31,5,3,1,2,1,5,3,2,1,4,3,1
Tejszínes - gombás csirkemell tésztával,31,4,2,0,0,8,5,6,0,6,0,0,0
Tárkonyos raguleves,31,1,3,3,5,2,2,1,3,1,3,3,4
Gombaleves,31,3,1,3,6,4,3,1,1,0,2,4,3
Nyírségi gombócleves,30,2,3,3,2,1,3,2,3,1,2,2,6
Csülökpörkölt tarhonyával,30,3,3,2,5,3,3,2,3,1,2,1,2
Burgonyaleves,30,2,3,1,3,4,2,2,0,4,5,2,2
"Sertéskaraj vadasan, tészta",29,6,0,0,5,0,0,3,3,6,0,0,6
"Marhapörkölt tarhonyával, saláta",29,2,1,4,3,3,3,2,2,1,2,3,3
"Sajttal - sonkával töltött szelet, rizzsel",28,1,2,4,4,4,1,2,1,2,2,4,1
"Csikós tokány, tészta",28,2,3,3,2,2,2,3,2,1,2,3,3
Túrós palacsinta,28,4,2,3,3,3,2,2,2,2,1,2,2
Fokhagyma krémleves,27,2,6,1,3,2,2,1,1,1,3,0,5
Töltött paprika,26,3,1,0,5,4,3,6,1,1,0,1,1
Grízes tészta,26,3,1,3,4,3,3,1,1,2,1,2,2
Sajtos tészta,25,2,1,3,2,1,5,2,2,1,1,2,3
Magyaros zöldborsóleves,25,1,2,1,3,3,4,0,2,1,1,3,4
Rizsleves,25,3,5,2,1,2,3,1,0,3,1,3,1
Alföldi tésztaleves,24,3,2,0,3,3,2,2,1,3,0,3,2
Bácskai rizses hús,24,2,2,1,4,0,1,3,2,0,1,5,3
Krémes karfiolleves,24,2,3,2,2,2,1,2,1,2,2,2,3
Szilvaleves,23,2,1,3,2,2,2,1,4,1,2,2,1
Bakonyi betyárleves,23,1,3,3,1,3,1,2,1,2,2,3,1
Ízes derelye,23,4,2,0,2,1,3,1,2,3,1,1,3
Eperkrémleves,22,0,2,2,3,2,2,3,3,1,1,1,2
Zúzapörkölt tarhonyával,22,2,4,1,2,2,3,1,0,2,0,3,2
Tejfölös burgonyaleves,22,1,1,1,5,3,0,2,2,0,3,1,3
Zellerkrémleves,22,4,1,4,1,3,1,0,1,2,1,2,2
Húsgombócleves,22,3,2,1,5,1,1,0,2,4,1,1,1
"Kakaspörkölt tésztával, saláta",22,1,2,2,1,3,0,2,3,3,0,2,3
"Körömpörkölt, főttburgonya",22,3,2,3,1,3,1,2,1,1,1,3,1
Leves + Garnélás - tejszínes spagetti,21,0,0,7,0,0,0,0,0,6,1,0,7
Burgonyagombóc leves,21,3,0,3,3,2,2,2,2,2,1,0,1
"Zöldborsós sertés tokány galuskával, saláta",21,3,3,3,0,3,0,3,0,2,1,3,0
Marhagulyás + Barackos - túrós palacsinta,21,0,0,7,7,0,0,0,0,0,0,7,0
Borsos tokány tészta,20,1,1,2,2,0,2,3,2,1,1,4,1
Szaggatott tésztaleves,20,0,4,1,2,3,1,1,2,1,2,1,2
"Párizsi sertés szelet, vegyes köret, saláta",20,0,2,6,0,3,1,2,0,0,2,3,1
"Borsos tokány galuskával, saláta",20,0,3,0,3,3,0,2,2,2,2,0,3
Leves + Éhes gumis kedvence,20,3,4,0,7,0,0,0,6,0,0,0,0
bécsi szelet,20,0,5,4,1,2,2,1,0,0,1,3,1
"Pulykapörkölt tésztával, saláta",20,0,3,1,3,1,3,2,2,0,2,3,0
Mákos guba,20,0,1,2,1,2,2,2,0,2,0,4,4
"Rakott burgonya, saláta",19,4,0,0,2,3,3,2,2,0,1,1,1
Pecsenye leves,19,1,0,2,1,2,1,4,1,1,3,2,1
"Körömpörkölt, sósburgonya",19,2,2,2,2,2,0,3,0,1,2,2,1
Diós tészta,19,2,2,2,1,2,2,1,2,1,2,2,0
"Gyümölcsfőzelék, párizsi csirkemell",19,2,4,3,3,1,1,0,0,1,1,1,2
Pármai rakott tészta,19,3,3,1,2,1,2,0,2,2,1,2,0
"Pacal, főttburgonya",18,1,3,0,3,1,1,2,1,3,1,1,1
Gölődinleves,18,0,2,1,2,3,2,2,1,1,0,4,0
Marhapörkölt galuskával,18,1,2,3,2,4,1,0,0,0,2,1,2
Bakonyi betyár leves,18,1,4,2,1,3,1,1,2,0,2,1,0
Gölődin leves,18,2,1,3,2,2,0,1,0,2,2,3,0
Tárkonyos sertés raguleves,18,3,2,2,1,0,1,2,1,0,1,3,2
"Zúzapörkölt tarhonyával, saláta",17,2,1,1,3,1,1,3,0,0,2,0,3
Kofapecsenye tarhonyával,17,1,3,3,1,0,1,1,1,1,1,3,1
Sütőtök krémleves,17,0,1,0,0,1,0,1,0,2,3,5,4
Savanyú burgonyaleves,17,3,1,3,1,1,0,1,1,2,0,3,1
Sárgaborsó leves,17,1,1,2,1,3,1,0,1,2,1,1,3
Tejfölös bableves,17,2,0,4,1,2,3,1,1,1,1,0,1
Csirkemáj rizottó,17,1,2,1,3,3,1,1,1,0,0,2,2
Vaníliás palacsinta,17,1,1,2,1,2,2,1,1,1,1,1,3
Falusi csirkeleves,17,2,3,2,1,4,1,0,1,0,0,1,2
Raguleves,17,0,1,0,0,3,2,1,2,2,1,2,3
"Rántott sertésszelet, vegyes köret, saláta",17,1,0,0,0,1,3,2,0,5,4,1,0
Szárnyas raguleves,17,1,2,1,4,0,1,1,1,3,1,1,1
Marhapörkölt tarhonyával,16,2,2,1,2,1,1,2,1,1,1,1,1
"Csikós tokány galuskával, saláta",16,1,3,0,0,2,0,0,2,1,1,3,3
Zöldborsó leves,16,2,1,3,2,0,2,1,0,0,2,2,1
Rakott krumpli,16,2,1,3,0,3,0,1,0,1,1,2,2
Csirkebecsinált leves,16,1,1,3,2,3,1,0,0,1,1,3,0
Palócleves,16,1,3,3,0,2,1,1,1,1,0,0,3
"Resztelt máj, főttburgonya",16,2,2,0,1,3,1,0,2,1,0,3,1
Szemes bableves,16,0,0,3,3,3,2,0,0,0,2,0,3
Tejfölös zöldbableves,16,0,2,1,4,2,1,1,2,0,1,1,1
Bácskai rizseshús,16,0,3,4,2,3,1,1,0,0,0,1,1
"Pacalpörkölt, sósburgonya",16,0,2,3,2,1,2,0,1,0,2,1,2
Lencsekrém leves,15,1,3,0,0,0,2,2,0,2,0,2,3
"Meggyfőzelék, párizsi csirke",15,2,2,2,2,0,3,1,1,0,1,0,1
Görög rakott burgonya,15,2,1,3,1,2,1,2,1,0,2,0,0
Tárkonyos sertésragu leves,15,0,0,1,2,1,2,1,1,3,3,1,0
Tavaszi leves,15,0,0,1,0,4,1,2,2,0,1,2,2
Magyaros gombaleves,15,0,2,2,2,2,1,2,1,1,1,0,1
"Bácskai rizses hús, saláta",15,0,3,1,1,1,3,0,0,1,2,0,3
"Kecskeméti aprópecsenye, tészta",15,1,2,2,1,3,0,2,0,1,0,3,0
Mákos nudli,15,2,0,1,1,3,0,0,1,2,2,2,1
"Paradicsomos káposzta, sült hús",15,2,1,1,2,1,0,2,1,1,0,3,1
Paradicsomos káposzta vagdalttal,15,3,0,1,2,1,2,2,0,2,2,0,0
Babgulyás + Tiramisu,14,0,0,0,0,0,0,0,0,0,7,3,4
"Meggyfőzelék, párizsi csirkemell",14,0,1,1,1,1,1,0,0,1,1,4,3
"Körömpörkölt, sós burgonya, saláta",14,2,1,3,0,4,0,0,1,0,0,3,0
"Leves + Mézpácos csirkemell, krokett, karamellizált gyümölcs",14,7,0,5,2,0,0,0,0,0,0,0,0
"Csülök ""Pékné"" módra, hagymás burgonya",14,1,1,1,0,1,1,1,3,0,1,2,2
"Sárgaborsó főzelék, borsos tokány",14,3,0,1,1,2,0,2,0,2,0,3,0
Burgonyafőzelék vagdalttal,14,2,0,2,0,1,0,2,4,0,0,1,2
Vargabéles,14,1,2,1,2,1,1,1,0,0,3,1,1
"Csőben sült ananászos csirkemell, rizs",14,3,0,3,0,1,2,0,0,2,1,2,0
"Fokhagyma krémleves, zsemlekocka",14,1,1,3,1,1,1,1,1,0,0,3,1
Becsinált leves,13,0,0,5,0,0,1,2,2,0,0,1,2
"Birkapörkölt, sósburgonya",13,0,1,0,3,3,0,1,1,0,1,2,1
"Rántott halrúd, kukoricás rizs",13,0,0,0,0,0,0,0,0,0,2,5,6
Karalábéleves,13,1,2,0,2,0,1,1,1,0,2,2,1
Babgulyás - Pecsenyeleves,13,1,1,2,1,2,1,1,0,2,0,2,0
Csülökpörkölt tésztával,13,2,1,1,0,0,2,0,1,0,1,2,3
"Rántott camambert, barack, áfonya, krokett",13,1,2,2,2,1,1,0,1,1,0,1,1
Borjúpörkölt tésztával,13,0,1,2,0,0,2,1,0,3,2,0,2
"Rakott karfiol, greslivel",13,3,0,1,0,3,0,2,0,2,0,2,0
Hagymakrém leves,13,1,1,1,2,3,0,1,1,1,1,1,0
Burgonyás tészta,13,1,0,2,2,0,1,1,0,1,3,2,0
Rakott kel,13,2,1,2,1,1,1,1,2,1,0,1,0
"Magvas rántott szelet, kukoricás rizs",13,0,6,0,1,6,0,0,0,0,0,0,0
Csőben sült túrós palacsinta,13,2,0,3,1,1,0,1,2,1,0,1,1
"Rác csirkecomb, karikás burgonya",13,1,1,0,2,0,2,0,2,2,0,3,0
Babgulyás - Frankfurti leves,13,1,1,1,1,3,1,1,0,1,0,2,1
"Sobri szelet, rizzsel",13,1,2,1,1,2,1,1,0,0,1,1,2
Csirkeragu leves,12,0,0,2,0,1,1,3,1,2,1,1,0
"Édes - savanyú csirke, rizs",12,0,2,1,2,0,1,1,1,1,1,1,1
Pulled Pork tál,12,0,0,1,0,2,0,0,0,0,0,4,5
Palóc gulyás,12,3,1,1,0,1,1,0,0,2,1,2,0
"Mustáros sertésapró, tészta",12,1,1,2,0,3,1,0,1,0,1,0,2
Krémes palacsinta,12,2,1,1,1,1,1,2,1,0,1,0,1
Túróval töltött zsemle,12,1,0,1,1,1,0,3,1,0,2,0,2
Babgulyás - Palócgulyás,12,0,2,1,1,1,2,1,1,1,0,1,1
"Csőben sült brokkolis csirkemell, rizs",12,0,1,1,0,1,1,1,0,0,2,2,3
"Pankó morzsás rántott szelet, kukoricás rizs",12,6,0,0,0,0,0,0,0,0,0,6,0
"Ínyenc batyu, rizs",12,0,0,0,0,6,0,0,0,0,0,6,0
"Finomfőzelék, sült csirkecomb, palacsinta",12,3,0,3,1,2,3,0,0,0,0,0,0
Korhely leves,12,0,0,1,0,1,1,2,1,2,1,2,1
Babgulyás - Legényfogó leves,12,1,2,2,0,1,2,1,0,1,1,1,0
Szalagos fánk lekvárral,12,2,3,1,0,1,0,0,0,1,1,3,0
Bakonyi sertésszelet galuskával,12,1,0,1,0,0,2,1,2,1,1,2,1
"Debreceni szelet, kagylótésztával",11,1,1,0,1,2,1,0,0,1,1,2,1
Magyaros rizsleves,11,4,3,0,0,0,0,2,0,1,1,0,0
Szilvalekváros derelye,11,1,1,1,0,2,1,1,0,2,1,1,0
Tökfőzelék pörkölttel,11,2,0,1,1,0,0,1,2,1,1,1,1
"Birkapörkölt, sós burgonya, saláta",11,3,0,2,1,1,1,1,0,1,0,1,0
Minestrone leves,11,0,1,2,0,1,1,1,3,1,1,0,0
Gombapaprikás tésztával,11,1,1,2,0,1,1,1,2,0,1,1,0
Magyaros zöldbableves,11,0,3,0,0,0,0,2,0,1,0,3,2
Májgombóc leves,11,1,0,2,1,0,1,0,2,1,1,2,0
"Kelkáposzta főzelék, fokhagymás sertéssült",11,3,0,3,1,0,0,0,0,2,2,0,0
Karfiol leves,11,1,0,5,1,0,1,1,1,0,0,0,1
Sajtos - tejfölös tészta,11,0,0,2,2,1,1,1,2,1,1,0,0
Marhapörkölt tésztával,11,1,0,0,0,1,1,1,2,1,2,1,1
"Csőben sült brokkoli, vasalt csirkecombbal",11,2,1,1,0,1,1,0,2,0,1,2,0
Szárnyas aprólék leves,11,2,1,0,0,2,1,1,1,1,1,1,0
Milánói sertéskaraj,11,0,0,0,6,0,5,0,0,0,0,0,0
"Kofapecsenye, tarhonya",11,1,1,2,1,1,1,0,2,1,0,0,1
Pacalpörkölt sós burgonyával,11,0,0,2,0,1,1,2,1,1,1,2,0
Hamis gulyás,11,0,0,0,0,2,0,1,1,3,1,2,1
Grízgombócleves,11,1,2,2,0,0,1,1,2,1,0,1,0
Tökfőzelék vagdalttal,10,1,3,0,0,2,0,2,2,0,0,0,0
"Zöldborsófőzelék, göngyölt hússal",10,1,0,2,0,0,1,1,0,2,0,2,1
"Birkapörkölt, főttburgonya",10,0,0,1,1,1,2,0,1,0,2,1,1
Rizskók lekvárral,10,1,0,1,1,2,1,0,2,0,0,1,1
Hamis gulyás leves,10,3,0,2,1,0,1,0,1,1,1,0,0
Burgonya gombóc leves,10,1,1,1,0,1,1,0,2,0,2,0,1
Borsostokány tésztával,10,2,0,1,2,0,0,0,0,0,0,2,3
"Párizsi csirkemell, almafőzelék",10,1,1,0,1,0,1,1,1,1,1,1,1
Káposztás kocka,10,2,1,1,1,1,1,0,1,0,1,0,1
"Fokhagymás tokány, tészta",10,1,2,0,2,0,1,1,0,1,1,1,0
"Sertéskaraj ""Otthon"" módra rizzsel",10,1,0,2,0,1,1,2,0,0,2,1,0
"Mexikói sertés tokány galuskával, saláta",10,3,0,0,0,0,2,2,0,0,0,3,0
Zöldséges - húsos rakott tészta,10,1,0,2,0,2,1,0,1,1,1,0,1
B.U.É.K,10,10,0,0,0,0,0,0,0,0,0,0,0
Csorbaleves,10,0,1,1,1,1,1,0,1,1,2,0,1
Babgulyás - Raguleves,10,1,2,2,0,0,0,0,1,0,0,1,3
"Székelykáposzta, palacsinta",10,2,1,1,1,0,0,0,0,0,0,3,2
Szecsuáni csirke sült tésztával,10,0,0,1,1,0,2,1,2,0,1,1,1
Sárgaborsó főzelék pörkölttel,10,1,0,0,1,0,2,0,0,1,1,2,2
